JobTitle,Company,Location,PostDate,ExtractDate,Summary,JobUrl
Total Rewards Analyst,Qlik,Lund,Mer än 30 dagar sedan,2020-09-21,An enthusiastic seeker and user of data to manage programs and make decisions. Instilling data integrity to compensation programs by conducting regular audits…,,https://se.indeed.com/rc/clk?jk=6e4aab2e20cee084&fccid=49ad47b3debb43f4&vjs=3
SAP MDM Analyst,Cepheid,Solna,11 dagar sedan,2020-09-21,"Perform data profiling and cleansing by evaluating data gathered from multiple sources, identify anomalies, reconcile differences, develop dashboards and…",,https://se.indeed.com/rc/clk?jk=a9a564bf6f7a1df2&fccid=2dc2f35c3405a529&vjs=3
Data Analysts,Advectas,Göteborg,Mer än 30 dagar sedan,2020-09-21,"Men stora mängder data innebär också stora utmaningar – Hur ska vi inhämta, lagra, tillgängliggöra, utnyttja, strukturera och säkra vår data på bästa sätt?",,https://se.indeed.com/rc/clk?jk=8309c5968db52081&fccid=98486fe73c554fde&vjs=3
ERP Analyst,Northvolt,Stockholm,Mer än 30 dagar sedan,2020-09-21,Northvolt has an exciting job opportunity for an ERP Analyst to join our stellar team in Stockholm. You will be contributing in your area from the very start in…,,https://se.indeed.com/rc/clk?jk=18869ad0ec268ee4&fccid=0284097cdcfc2e52&vjs=3
Digital Analyst,Hemnet,Stockholm,Mer än 30 dagar sedan,2020-09-21,"We offer you a data driven analyst role working in team with an experimental approach. Analyze, visualize and present behavioral data.",,https://se.indeed.com/rc/clk?jk=a8e3e3bcf35c6e6b&fccid=b20a462c58961ed0&vjs=3
Geospatial analyst,Vricon,Linköping,Mer än 30 dagar sedan,2020-09-21,"Kravställning och test av vårt 3D data produktionssystem. Produktion, analys och test av geospatial 3D-data. Vricon, som utvecklat en världsunik teknologi inom…",,https://se.indeed.com/rc/clk?jk=e8b2cf04c18c610a&fccid=7ca14285758da6d2&vjs=3
Credit Analyst,Qliro,Stockholm,12 dagar sedan,2020-09-21,"Have worked as a credit analyst for preferably 1-2 years or have other experiences from working with data. Have experience from working with SQL, R or another…",,https://se.indeed.com/rc/clk?jk=f8d896441e5b25f0&fccid=c7d2255f80c0ca72&vjs=3
Product Analyst - Viaplay,Nordic Entertainment Group,Stockholm,Mer än 30 dagar sedan,2020-09-21,"Analyze customer behaviour data by writing advanced SQL queries to extract relevant data from large scale data sources, then transform the data into insight…",,https://se.indeed.com/rc/clk?jk=79955488c8038c55&fccid=aa5f0eb9888a49aa&vjs=3
Redovisningsansvarig,Enento Group,Stockholm,5 dagar sedan,2020-09-21,"""Ingen dag är den andra lik och UC har mycket data att analysera vilket är otroligt kul! "". Vi letar alltid efter talanger som vill delta i vår resa och bidra…",,https://se.indeed.com/rc/clk?jk=3a8380a2b7f5496e&fccid=cd43ed621be4faff&vjs=3
Senior Data Analyst,OPM Recruitment,Uppsala,Mer än 30 dagar sedan,2020-09-21,"Strong experience as a game data analyst or comparable, in AAA or mobile games development. Comfortable working with structured and unstructured data.",,https://se.indeed.com/rc/clk?jk=4cc9f6bfe4e2077b&fccid=5f49509157db24a8&vjs=3
Junior Pricing Analyst till Proffsmagasinet,Proffsmagasinet,Stockholm,12 dagar sedan,2020-09-21,"Sökord: pricing analyst, controller, inköpare. Du har systemvana och van vid att bearbeta data i Excel. Är du i början av din karriär inom pricing / controlling…",,https://se.indeed.com/rc/clk?jk=7f47a1387f246b9b&fccid=20addc290d7fb13a&vjs=3
Data analyst på deltid!,Academic Work,Stockholm,5 dagar sedan,2020-09-21,"Tillgängliggöra data för webb genom berarbetning och behandling av datan. Det viktigaste i denna roll är att du är initiativtagande, strukturerad och tycker om…",,https://se.indeed.com/rc/clk?jk=8ebc1bdbb61a8f67&fccid=dccca727bf1a6346&vjs=3
Data Engineer to ALTEN IT Stockholm,ALTEN Sverige,Stockholm,14 dagar sedan,2020-09-21,"As a Data Engineer you will typically take the role of building and running data pipelines, data warehouse, data frameworks or different data presentation…",,https://se.indeed.com/rc/clk?jk=12c4921722a69836&fccid=6e57dceacef0d055&vjs=3
